
Loaded 700 winning trades across the last 30 days
Found 116 unique winning traders


🏆 MOST CONSISTENT WINNERS (last 30 days)

  #   Name                    Wins    Total $     ROI  Profile
  ----------------------------------------------------------------------
  3   Hideous-Gherkin              0.1%     5 $33,218.50  https://polymarket.com/profile/0xa754b9f02812185dda469c30acb39f146806d8cf
  4   Gullible-Pray                0.1%     5 $33,218.50  https://polymarket.com/profile/0xdc4546ea635695d8059e78473ff5b464d96a9c6e
  5   Periodic-Footwear            0.1%     5 $68,230.20  https://polymarket.com/profile/0x1b8c538ac940a3f85b4517c82044541858feb2ee
  6   Pitiful-Cottage              0.1%     2 $49,022.16  https://polymarket.com/profile/0x4c82215bd4245a213a34b1cfd0be45ff750e8047
  7   Corny-Heating                0.2%     7 $33,187.00  https://polymarket.com/profile/0x94c81ef08355518456bf8e5cda2f15b3c0af0231
  8   Majestic-Shorts              0.2%     7 $100,888.48  https://polymarket.com/profile/0x690b047e69f139d3acd9a985ab582df1f1cc9145
  9   Rewarding-Placebo            0.2%     2 $114,327.68  https://polymarket.com/profile/0x2dbe7c1e520386c303ee4da03c89c64388ee6351
  10  Darling-Imitation            0.2%     7 $404,252.38  https://polymarket.com/profile/0xd60c551492ca0b2ee6cbc9aac8e4df4c64b5f46c
  11  Monstrous-Dew                0.2%     3 $24,270.33  https://polymarket.com/profile/0x5b6331e7ff0831a3fe2ed12004747db1a9c911a4
  12  Idealistic-Script            0.3%     4 $41,707.52  https://polymarket.com/profile/0xe35a82f77251f7d757a738fcc598553b258682f4
  13  Exhausted-Meme               0.3%     6 $58,613.28  https://polymarket.com/profile/0x1adeda0f5e44dd8cc205f66e316354e26fc4c142
  14  Torn-Secretary               0.3%     3 $205,185.09  https://polymarket.com/profile/0x9065ef8280738e0feb105f54137c7071f07fb9a3
  15  Trivial-Sow                  0.4%     6 $ 9,088.68  https://polymarket.com/profile/0x46f2902a336ad6c50c445298cace811e339c33e5
  16  Overdue-Dagger               0.4%     4 $ 4,981.00  https://polymarket.com/profile/0x585aeb19eb461a8409eca82ac24541cd3eee26ec
  17  Ironclad-Herbs               0.4%     7 $31,231.27  https://polymarket.com/profile/0x6c2be10fb07747a3c751c77774938a15fbcf36f4
  18  Impure-Treaty                0.5%     7 $28,050.75  https://polymarket.com/profile/0x28d24229dcdc2f9355c90c41c088774c98475621
  19  Subtle-Leek                  0.5%     2 $ 3,025.86  https://polymarket.com/profile/0xc811b43f3aea039e621e1073dd91a31cbb43a5be
  20  Green-Step                   0.5%     4 $35,928.96  https://polymarket.com/profile/0xde4c8a3a8002a25c463d7b7cd6092a102712fa5f
  21  Unsteady-Metaphor            0.6%     7 $33,800.76  https://polymarket.com/profile/0x7f0f5e5b5d2b0abccf25cc01cd648702690acba6
  22  Meek-Overview                0.7%     5 $325,103.80  https://polymarket.com/profile/0x9652b81583276f840025c2667ec81c4178591ab4
